"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
27623,"0100000000","80",1971-12-31 00:00:00,,LIVE ANIMALS,0,30963,1971-12-31 00:00:00,, LIVE ANIMALS,"01",1,"01","0",2
27624,"0101000000","80",1972-01-01 00:00:00,,"Live horses, asses, mules and hinnies",0,30964,1972-01-01 00:00:00,," Live horses, asses, mules and hinnies","01",1,"0101","0",4
93797,"0101210000","10",2012-01-01 00:00:00,,Horses,1,147427,2019-01-01 00:00:00,, - Horses,"01",1,"010121","0",6
93796,"0101210000","80",2012-01-01 00:00:00,,Pure-bred breeding animals,2,147428,2019-01-01 00:00:00,, - - Pure-bred breeding animals,"01",1,"010121","1",6
93798,"0101290000","80",2012-01-01 00:00:00,,Other,2,147429,2019-01-01 00:00:00,, - - Other,"01",1,"010129","0",6
93799,"0101291000","80",2012-01-01 00:00:00,,For slaughter,3,121685,2014-01-01 00:00:00,, - - - For slaughter,"01",1,"01012910","1",8
93800,"0101299000","80",2012-01-01 00:00:00,,Other,3,121686,2014-01-01 00:00:00,, - - - Other,"01",1,"01012990","1",8
93801,"0101300000","80",2012-01-01 00:00:00,,Asses,1,121687,2014-01-01 00:00:00,, - Asses,"01",1,"010130","1",6
72763,"0101900000","80",2002-01-01 00:00:00,,Other,1,121688,2014-01-01 00:00:00,, - Other,"01",1,"010190","1",6
27633,"0102000000","80",1972-01-01 00:00:00,,Live bovine animals,0,121689,2014-01-01 00:00:00,, Live bovine animals,"01",1,"0102","0",4
94053,"0102210000","10",2012-01-01 00:00:00,,Cattle,1,147430,2019-01-01 00:00:00,, - Cattle,"01",1,"010221","0",6
94047,"0102210000","80",2012-01-01 00:00:00,,Pure-bred breeding animals,2,147431,2019-01-01 00:00:00,, - - Pure-bred breeding animals,"01",1,"010221","0",6
94048,"0102211000","80",2012-01-01 00:00:00,,Heifers (female bovines that have never calved),3,121692,2014-01-01 00:00:00,, - - - Heifers (female bovines that have never calved),"01",1,"01022110","1",8
94049,"0102213000","80",2012-01-01 00:00:00,,Cows,3,121693,2014-01-01 00:00:00,, - - - Cows,"01",1,"01022130","1",8
94050,"0102219000","80",2012-01-01 00:00:00,,Other,3,143796,2018-01-01 00:00:00,, - - - Other,"01",1,"01022190","1",8
94056,"0102290000","80",2012-01-01 00:00:00,,Other,2,147432,2019-01-01 00:00:00,, - - Other,"01",1,"010229","0",6
96756,"0102290500","80",2013-01-01 00:00:00,,Of the sub-genus Bibos or of the sub-genus Poephagus,3,121696,2014-01-01 00:00:00,, - - - Of the sub-genus Bibos or of the sub-genus Poephagus,"01",1,"01022905","1",8
96757,"0102291000","10",2013-01-01 00:00:00,,Other,3,121697,2014-01-01 00:00:00,, - - - Other,"01",1,"01022910","0",8
94057,"0102291000","80",2012-01-01 00:00:00,,Of a weight not exceeding 80|kg,4,147433,2019-01-01 00:00:00,, - - - - Of a weight not exceeding 80|kg,"01",1,"01022910","0",8
94058,"0102291010","80",2012-01-01 00:00:00,,"Young male bovine animals, intended for fattening",5,116325,2012-01-01 00:00:00,," - - - - - Young male bovine animals, intended for fattening","01",1,"0102291010","1",10
94059,"0102291020","80",2012-01-01 00:00:00,,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",5,116326,2012-01-01 00:00:00,," - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter","01",1,"0102291020","1",10
94060,"0102291030","80",2012-01-01 00:00:00,,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",5,116327,2012-01-01 00:00:00,," - - - - - Heifers of the Schwyz and Fribourg breeds, other than for slaughter","01",1,"0102291030","1",10
94061,"0102291040","80",2012-01-01 00:00:00,,"Heifers of the spotted Simmental breed, other than for slaughter",5,116328,2012-01-01 00:00:00,," - - - - - Heifers of the spotted Simmental breed, other than for slaughter","01",1,"0102291040","1",10
94062,"0102291050","80",2012-01-01 00:00:00,,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",5,116329,2012-01-01 00:00:00,," - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter","01",1,"0102291050","1",10
94063,"0102291090","80",2012-01-01 00:00:00,,Other,5,116330,2012-01-01 00:00:00,, - - - - - Other,"01",1,"0102291090","1",10
94064,"0102292100","10",2012-01-01 00:00:00,,Of a weight exceeding 80|kg but not exceeding 160|kg,4,147434,2019-01-01 00:00:00,, - - - - Of a weight exceeding 80|kg but not exceeding 160|kg,"01",1,"01022921","0",8
94065,"0102292100","80",2012-01-01 00:00:00,,For slaughter,5,121700,2014-01-01 00:00:00,, - - - - - For slaughter,"01",1,"01022921","1",8
94066,"0102292900","80",2012-01-01 00:00:00,,Other,5,121701,2014-01-01 00:00:00,, - - - - - Other,"01",1,"01022929","0",8
94067,"0102292910","80",2012-01-01 00:00:00,,"Young male bovine animals, intended for fattening",6,116334,2012-01-01 00:00:00,," - - - - - - Young male bovine animals, intended for fattening","01",1,"0102292910","1",10
94068,"0102292920","80",2012-01-01 00:00:00,,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,116335,2012-01-01 00:00:00,," - - - - - - Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102292920","1",10
94069,"0102292930","80",2012-01-01 00:00:00,,Heifers of the Schwyz and Fribourg breeds,6,116336,2012-01-01 00:00:00,, - - - - - - Heifers of the Schwyz and Fribourg breeds,"01",1,"0102292930","1",10
94070,"0102292940","80",2012-01-01 00:00:00,,Heifers of the spotted Simmental breed,6,116337,2012-01-01 00:00:00,, - - - - - - Heifers of the spotted Simmental breed,"01",1,"0102292940","1",10
