"measure_sid","reformat_regulation_id","regulation_id","regulation_id_full","goods_nomenclature_item_id","additional_code_type_id","additional_code_id","measure_type_id","geographical_area_id","validity_start_date","validity_end_date","effective_end_date","ordernumber","national","reduction_indicator","measure_generating_regulation_role","measure_generating_regulation_id","justification_regulation_role","justification_regulation_id","stopped_flag","geographical_area_sid","goods_nomenclature_sid","additional_code_sid","export_refund_nomenclature_sid","regulation_group_id","measure_sid","duty_expression_id","duty_amount","monetary_unit_code","measurement_unit_code","measurement_unit_qualifier_code","oid","operation","operation_date","added_by_id","added_at","national","status","workbasket_id","workbasket_sequence_number","original_duty_expression_id"
3633137,D0001/94,D940001,D9400010,"0302499000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100572,,,PRF,3633137,"01",4.5,,,,2030062,C,,,,,,,,
3632722,D0001/94,D940001,D9400010,"0302510000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94523,,,PRF,3632722,"01",0,,,,2029697,C,,,,,,,,
3632723,D0001/94,D940001,D9400010,"0302520000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94540,,,PRF,3632723,"01",0,,,,2029698,C,,,,,,,,
3632724,D0001/94,D940001,D9400010,"0302530000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94544,,,PRF,3632724,"01",0,,,,2029699,C,,,,,,,,
3633138,D0001/94,D940001,D9400010,"0302541100",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94559,,,PRF,3633138,"01",4.5,,,,2030063,C,,,,,,,,
3633139,D0001/94,D940001,D9400010,"0302541500",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94560,,,PRF,3633139,"01",4.5,,,,2030064,C,,,,,,,,
3633140,D0001/94,D940001,D9400010,"0302541900",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94561,,,PRF,3633140,"01",4.5,,,,2030065,C,,,,,,,,
3633141,D0001/94,D940001,D9400010,"0302549000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94565,,,PRF,3633141,"01",4.5,,,,2030066,C,,,,,,,,
3632606,D0001/94,D940001,D9400010,"0302550000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94592,,,PRF,3632606,"01",2.2,,,,2029592,C,,,,,,,,
3632607,D0001/94,D940001,D9400010,"0302560000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94612,,,PRF,3632607,"01",2.2,,,,2029593,C,,,,,,,,
3632725,D0001/94,D940001,D9400010,"0302591000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94616,,,PRF,3632725,"01",0,,,,2029700,C,,,,,,,,
3632608,D0001/94,D940001,D9400010,"0302592000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94617,,,PRF,3632608,"01",2.2,,,,2029594,C,,,,,,,,
3632609,D0001/94,D940001,D9400010,"0302593000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94618,,,PRF,3632609,"01",2.2,,,,2029595,C,,,,,,,,
3632610,D0001/94,D940001,D9400010,"0302594000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94619,,,PRF,3632610,"01",2.2,,,,2029596,C,,,,,,,,
3633142,D0001/94,D940001,D9400010,"0302599000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94620,,,PRF,3633142,"01",4.5,,,,2030067,C,,,,,,,,
3632800,D0001/94,D940001,D9400010,"0302710000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95156,,,PRF,3632800,"01",2.4,,,,2029774,C,,,,,,,,
3632801,D0001/94,D940001,D9400010,"0302720000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95157,,,PRF,3632801,"01",2.4,,,,2029775,C,,,,,,,,
3632803,D0001/94,D940001,D9400010,"0302730000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95158,,,PRF,3632803,"01",2.4,,,,2029777,C,,,,,,,,
3632802,D0001/94,D940001,D9400010,"0302790000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95160,,,PRF,3632802,"01",2.4,,,,2029776,C,,,,,,,,
3632779,D0001/94,D940001,D9400010,"0302811500",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100573,,,PRF,3632779,"01",1.8,,,,2029754,C,,,,,,,,
3632804,D0001/94,D940001,D9400010,"0302813000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95165,,,PRF,3632804,"01",2.4,,,,2029778,C,,,,,,,,
3632805,D0001/94,D940001,D9400010,"0302814000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100574,,,PRF,3632805,"01",2.4,,,,2029779,C,,,,,,,,
3632806,D0001/94,D940001,D9400010,"0302818000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,100575,,,PRF,3632806,"01",2.4,,,,2029780,C,,,,,,,,
3633143,D0001/94,D940001,D9400010,"0302820000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95168,,,PRF,3633143,"01",4.5,,,,2030068,C,,,,,,,,
3633144,D0001/94,D940001,D9400010,"0302830000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95167,,,PRF,3633144,"01",4.5,,,,2030069,C,,,,,,,,
3633145,D0001/94,D940001,D9400010,"0302841000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95170,,,PRF,3633145,"01",4.5,,,,2030070,C,,,,,,,,
3633146,D0001/94,D940001,D9400010,"0302849000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95171,,,PRF,3633146,"01",4.5,,,,2030071,C,,,,,,,,
3633147,D0001/94,D940001,D9400010,"0302851000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95187,,,PRF,3633147,"01",4.5,,,,2030072,C,,,,,,,,
3633148,D0001/94,D940001,D9400010,"0302853000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95188,,,PRF,3633148,"01",4.5,,,,2030073,C,,,,,,,,
3633149,D0001/94,D940001,D9400010,"0302859000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95189,,,PRF,3633149,"01",4.5,,,,2030074,C,,,,,,,,
3632807,D0001/94,D940001,D9400010,"0302891000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95234,,,PRF,3632807,"01",2.4,,,,2029781,C,,,,,,,,
3633487,D0001/94,D940001,D9400010,"0302892900",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95238,,,PRF,3633487,"01",6.6,,,,2030160,C,,,,,,,,
3238899,D0001/94,D940001,D9400010,"0302893100",,,"142","2012",2012-01-01 00:00:00,,,,,,1,D9400010,,,false,56,95240,,,PRF,3238899,"01",2.2,,,,1794968,C,,,,,,,,
3238900,D0001/94,D940001,D9400010,"0302893900",,,"142","2012",2012-01-01 00:00:00,,,,,,1,D9400010,,,false,56,95241,,,PRF,3238900,"01",2.2,,,,1794969,C,,,,,,,,
3633150,D0001/94,D940001,D9400010,"0302894000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95274,,,PRF,3633150,"01",4.5,,,,2030075,C,,,,,,,,
3633151,D0001/94,D940001,D9400010,"0302895000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95277,,,PRF,3633151,"01",4.5,,,,2030076,C,,,,,,,,
3632611,D0001/94,D940001,D9400010,"0302896000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95278,,,PRF,3632611,"01",2.2,,,,2029597,C,,,,,,,,
3633152,D0001/94,D940001,D9400010,"0302899000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,95280,,,PRF,3633152,"01",4.5,,,,2030077,C,,,,,,,,
3505707,D0001/94,D940001,D9400010,"0302910030",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,100578,,,PRF,3505707,"01",3,,,,1960956,C,,,,,,,,
3505709,D0001/94,D940001,D9400010,"0302910040",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,100579,,,PRF,3505709,"01",3,,,,1960958,C,,,,,,,,
3505711,D0001/94,D940001,D9400010,"0302910050",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,100580,,,PRF,3505711,"01",3,,,,1960960,C,,,,,,,,
3505713,D0001/94,D940001,D9400010,"0302910095",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,100582,,,PRF,3505713,"01",3,,,,1960962,C,,,,,,,,
3505715,D0001/94,D940001,D9400010,"0302910097",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,100583,,,PRF,3505715,"01",3,,,,1960964,C,,,,,,,,
3632780,D0001/94,D940001,D9400010,"0302920010",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,101049,,,PRF,3632780,"01",1.8,,,,2029755,C,,,,,,,,
3632781,D0001/94,D940001,D9400010,"0302920020",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,101050,,,PRF,3632781,"01",1.8,,,,2029756,C,,,,,,,,
3632809,D0001/94,D940001,D9400010,"0302920090",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,101051,,,PRF,3632809,"01",2.4,,,,2029783,C,,,,,,,,
3632808,D0001/94,D940001,D9400010,"0302990011",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,102908,,,PRF,3632808,"01",2.4,,,,2029782,C,,,,,,,,
3632945,D0001/94,D940001,D9400010,"0302990019",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,102909,,,PRF,3632945,"01",3,,,,2029908,C,,,,,,,,
